x,y
0.000,6.731
0.500,6.800
1.000,6.904
1.500,7.027
2.000,7.163
2.500,7.387
3.000,7.623
3.500,7.875
4.000,8.143
4.500,8.425
5.000,8.722
5.500,9.008
6.000,9.284
6.500,9.540
7.000,9.782
7.500,10.008
8.000,10.220
8.500,10.424
9.000,10.622
9.500,10.812
10.000,10.994
10.500,11.165
11.000,11.332
11.500,11.497
12.000,11.675
12.500,11.869
13.000,12.080
13.500,12.302
14.000,12.532
14.500,12.771
15.000,13.020
15.500,13.279
16.000,13.555
16.500,13.839
17.000,14.124
17.500,14.395
18.000,14.648
18.500,14.880
19.000,15.092
19.500,15.286
20.000,15.465
20.500,15.626
21.000,15.773
21.500,15.901
22.000,16.023
22.500,16.136
23.000,16.254
23.500,16.380
24.000,16.520
24.500,16.673
25.000,16.838
25.500,17.006
26.000,17.183
26.500,17.362
27.000,17.551
27.500,17.739
28.000,17.927
28.500,18.103
29.000,18.268
29.500,18.416
30.000,18.553
30.500,18.678
31.000,18.792
31.500,18.895
32.000,18.996
32.500,19.088
33.000,19.181
33.500,19.273
34.000,19.370
34.500,19.474
35.000,19.590
35.500,19.718
36.000,19.858
36.500,20.008
37.000,20.172
37.500,20.343
38.000,20.518
38.500,20.687
39.000,20.854
39.500,21.013
40.000,21.159
40.500,21.286
41.000,21.394
41.500,21.481
42.000,21.554
42.500,21.610
43.000,21.657
43.500,21.691
44.000,21.714
44.500,21.729
45.000,21.749
45.500,21.773
46.000,21.806
46.500,21.846
47.000,21.897
47.500,21.954
48.000,22.023
48.500,22.101
49.000,22.194
49.500,22.294
50.000,22.405
50.500,22.523
51.000,22.648
51.500,22.779
52.000,22.911
52.500,23.045
53.000,23.182
53.500,23.327
54.000,23.470
54.500,23.605
55.000,23.729
55.500,23.840
56.000,23.939
56.500,24.029
57.000,24.104
57.500,24.168
58.000,24.216
58.500,24.255
59.000,24.276
59.500,24.289
60.000,24.299
60.500,24.318
61.000,24.351
61.500,24.401
62.000,24.469
62.500,24.555
63.000,24.661
63.500,24.790
64.000,24.939
64.500,25.107
65.000,25.287
65.500,25.477
66.000,25.670
66.500,25.861
67.000,26.049
67.500,26.226
68.000,26.400
68.500,26.565
69.000,26.724
69.500,26.876
70.000,27.025
70.500,27.177
71.000,27.331
71.500,27.486
72.000,27.642
72.500,27.798
73.000,27.953
73.500,28.100
74.000,28.244
74.500,28.373
75.000,28.483
75.500,28.570
76.000,28.632
76.500,28.672
77.000,28.690
77.500,28.691
78.000,28.678
78.500,28.654
79.000,28.625
79.500,28.595
80.000,28.569
80.500,28.550
81.000,28.540
81.500,28.543
82.000,28.556
82.500,28.581
83.000,28.612
83.500,28.651
84.000,28.692
84.500,28.736
85.000,28.778
85.500,28.822
86.000,28.866
86.500,28.917
87.000,28.970
87.500,29.032
88.000,29.101
88.500,29.185
89.000,29.279
89.500,29.391
90.000,29.514
90.500,29.652
91.000,29.802
91.500,29.964
92.000,30.129
92.500,30.291
93.000,30.445
93.500,30.589
94.000,30.723
94.500,30.849
95.000,30.962
95.500,31.062
96.000,31.145
96.500,31.214
97.000,31.273
97.500,31.326
98.000,31.380
98.500,31.437
99.000,31.501
99.500,31.569
100.000,31.638
100.500,31.703
101.000,31.763
101.500,31.822
102.000,31.879
102.500,31.934
103.000,31.982
103.500,32.014
104.000,32.036
104.500,32.047
105.000,32.053
105.500,32.055
106.000,32.055
106.500,32.057
107.000,32.054
107.500,32.050
108.000,32.046
108.500,32.041
109.000,32.036
109.500,32.032
110.000,32.035
110.500,32.034
111.000,32.030
111.500,32.029
112.000,32.034
112.500,32.049
113.000,32.073
113.500,32.113
114.000,32.171
114.500,32.243
115.000,32.337
115.500,32.452
116.000,32.590
116.500,32.746
117.000,32.919
117.500,33.116
118.000,33.325
118.500,33.542
119.000,33.765
119.500,33.987
120.000,34.210
120.500,34.428
121.000,34.641
121.500,34.849
122.000,35.040
122.500,35.220
123.000,35.380
123.500,35.524
124.000,35.653
124.500,35.757
125.000,35.845
125.500,35.915
126.000,35.967
126.500,35.994
127.000,35.997
127.500,35.985
128.000,35.954
128.500,35.906
129.000,35.851
129.500,35.789
130.000,35.726
130.500,35.658
131.000,35.597
131.500,35.544
132.000,35.506
132.500,35.492
133.000,35.510
133.500,35.557
134.000,35.632
134.500,35.731
135.000,35.861
135.500,36.017
136.000,36.196
136.500,36.395
137.000,36.599
137.500,36.803
138.000,36.998
138.500,37.175
139.000,37.335
139.500,37.473
140.000,37.595
140.500,37.695
141.000,37.771
141.500,37.827
142.000,37.856
142.500,37.870
143.000,37.874
143.500,37.869
144.000,37.860
144.500,37.836
145.000,37.805
145.500,37.760
146.000,37.705
146.500,37.642
147.000,37.573
147.500,37.503
148.000,37.431
148.500,37.356
149.000,37.279
149.500,37.201
150.000,37.138
150.500,37.096
151.000,37.084
151.500,37.095
152.000,37.134
152.500,37.201
153.000,37.298
153.500,37.433
154.000,37.602
154.500,37.797
155.000,38.017
155.500,38.251
156.000,38.494
156.500,38.730
157.000,38.957
157.500,39.165
158.000,39.353
158.500,39.514
159.000,39.642
159.500,39.735
160.000,39.796
160.500,39.832
161.000,39.848
161.500,39.849
162.000,39.846
162.500,39.847
163.000,39.859
163.500,39.884
164.000,39.930
164.500,39.995
165.000,40.085
165.500,40.198
166.000,40.330
166.500,40.472
167.000,40.615
167.500,40.755
168.000,40.888
168.500,41.007
169.000,41.108
169.500,41.185
170.000,41.241
170.500,41.279
171.000,41.301
171.500,41.308
172.000,41.304
172.500,41.297
173.000,41.293
173.500,41.288
174.000,41.297
174.500,41.317
175.000,41.353
175.500,41.400
176.000,41.457
176.500,41.524
177.000,41.595
177.500,41.674
178.000,41.757
178.500,41.834
179.000,41.905
179.500,41.955
180.000,41.995
180.500,42.016
181.000,42.022
181.500,42.016
182.000,41.993
182.500,41.959
183.000,41.915
183.500,41.861
184.000,41.799
184.500,41.732
185.000,41.668
185.500,41.604
186.000,41.539
186.500,41.477
187.000,41.417
187.500,41.364
188.000,41.320
188.500,41.289
189.000,41.268
189.500,41.257
190.000,41.259
190.500,41.275
191.000,41.306
191.500,41.357
192.000,41.424
192.500,41.505
193.000,41.597
193.500,41.695
194.000,41.793
194.500,41.887
195.000,41.979
195.500,42.066
196.000,42.144
196.500,42.211
197.000,42.264
197.500,42.301
198.000,42.317
198.500,42.331
199.000,42.348
199.500,42.363
200.000,42.376
