x,y
0.000,5.243
0.100,5.347
0.200,5.450
0.300,5.550
0.400,5.648
0.500,5.743
0.600,5.837
0.700,5.930
0.800,6.020
0.900,6.109
1.000,6.196
1.100,6.282
1.200,6.367
1.300,6.450
1.400,6.532
1.500,6.612
1.600,6.692
1.700,6.771
1.800,6.848
1.900,6.925
2.000,7.000
2.100,7.075
2.200,7.148
2.300,7.221
2.400,7.293
2.500,7.364
2.600,7.434
2.700,7.504
2.800,7.573
2.900,7.641
3.000,7.708
3.100,7.775
3.200,7.841
3.300,7.907
3.400,7.971
3.500,8.036
3.600,8.099
3.700,8.162
3.800,8.225
3.900,8.287
4.000,8.348
4.100,8.409
4.200,8.470
4.300,8.530
4.400,8.589
4.500,8.649
4.600,8.707
4.700,8.765
4.800,8.823
4.900,8.880
5.000,8.937
5.100,8.994
5.200,9.050
5.300,9.106
5.400,9.161
5.500,9.216
5.600,9.270
5.700,9.325
5.800,9.379
5.900,9.432
6.000,9.485
6.100,9.538
6.200,9.591
6.300,9.643
6.400,9.695
6.500,9.746
6.600,9.798
6.700,9.849
6.800,9.899
6.900,9.950
7.000,10.000
7.100,10.050
7.200,10.099
7.300,10.149
7.400,10.198
7.500,10.247
7.600,10.295
7.700,10.343
7.800,10.391
7.900,10.439
8.000,10.487
8.100,10.534
8.200,10.581
8.300,10.628
8.400,10.675
8.500,10.721
8.600,10.767
8.700,10.813
8.800,10.859
8.900,10.905
9.000,10.950
9.100,10.995
9.200,11.040
9.300,11.085
9.400,11.129
9.500,11.173
9.600,11.218
9.700,11.262
9.800,11.305
9.900,11.349
10.000,11.392
10.100,11.436
10.200,11.479
10.300,11.521
10.400,11.564
10.500,11.607
10.600,11.649
10.700,11.691
10.800,11.733
10.900,11.775
11.000,11.817
11.100,11.858
11.200,11.900
11.300,11.941
11.400,11.982
11.500,12.023
11.600,12.063
11.700,12.104
11.800,12.145
11.900,12.185
12.000,12.225
12.100,12.265
12.200,12.305
12.300,12.345
12.400,12.384
12.500,12.424
12.600,12.463
12.700,12.502
12.800,12.541
12.900,12.580
13.000,12.619
13.100,12.658
13.200,12.696
13.300,12.735
13.400,12.773
13.500,12.811
13.600,12.849
13.700,12.887
13.800,12.925
13.900,12.962
14.000,13.000
14.100,13.037
14.200,13.075
14.300,13.112
14.400,13.149
14.500,13.186
14.600,13.223
14.700,13.260
14.800,13.296
14.900,13.333
15.000,13.369
15.100,13.406
15.200,13.442
15.300,13.478
15.400,13.514
15.500,13.550
15.600,13.586
15.700,13.621
15.800,13.657
15.900,13.693
16.000,13.728
16.100,13.763
16.200,13.798
16.300,13.834
16.400,13.869
16.500,13.903
16.600,13.938
16.700,13.973
16.800,14.008
16.900,14.042
17.000,14.077
17.100,14.111
17.200,14.145
17.300,14.180
17.400,14.214
17.500,14.248
17.600,14.282
17.700,14.315
17.800,14.349
17.900,14.383
18.000,14.416
18.100,14.450
18.200,14.483
18.300,14.517
18.400,14.550
18.500,14.583
18.600,14.616
18.700,14.649
18.800,14.682
18.900,14.715
19.000,14.748
19.100,14.780
19.200,14.813
19.300,14.846
19.400,14.878
19.500,14.910
19.600,14.943
19.700,14.975
19.800,15.007
19.900,15.039
20.000,15.071
20.100,15.103
20.200,15.135
20.300,15.167
20.400,15.199
20.500,15.230
20.600,15.262
20.700,15.293
20.800,15.325
20.900,15.356
21.000,15.387
21.100,15.419
21.200,15.450
21.300,15.481
21.400,15.512
21.500,15.543
21.600,15.574
21.700,15.605
21.800,15.636
21.900,15.666
22.000,15.697
22.100,15.728
22.200,15.758
22.300,15.789
22.400,15.819
22.500,15.849
22.600,15.880
22.700,15.910
22.800,15.940
22.900,15.970
23.000,16.000
23.100,16.030
23.200,16.060
23.300,16.090
23.400,16.120
23.500,16.149
23.600,16.179
23.700,16.209
23.800,16.238
23.900,16.268
24.000,16.297
24.100,16.326
24.200,16.356
24.300,16.385
24.400,16.414
24.500,16.443
24.600,16.473
24.700,16.502
24.800,16.531
24.900,16.560
25.000,16.588
25.100,16.617
25.200,16.646
25.300,16.675
25.400,16.704
25.500,16.732
25.600,16.761
25.700,16.789
25.800,16.818
25.900,16.846
26.000,16.875
26.100,16.903
26.200,16.931
26.300,16.959
26.400,16.987
26.500,17.016
26.600,17.044
26.700,17.072
26.800,17.100
26.900,17.128
27.000,17.155
27.100,17.183
27.200,17.211
27.300,17.239
27.400,17.267
27.500,17.294
27.600,17.322
27.700,17.349
27.800,17.377
27.900,17.404
28.000,17.432
28.100,17.459
28.200,17.486
28.300,17.514
28.400,17.541
28.500,17.568
28.600,17.595
28.700,17.622
28.800,17.649
28.900,17.676
29.000,17.703
29.100,17.730
29.200,17.757
29.300,17.784
29.400,17.811
29.500,17.837
29.600,17.864
29.700,17.891
29.800,17.917
29.900,17.944
30.000,17.971
30.100,17.997
30.200,18.024
30.300,18.050
30.400,18.076
30.500,18.103
30.600,18.129
30.700,18.155
30.800,18.181
30.900,18.208
31.000,18.234
31.100,18.260
31.200,18.286
31.300,18.312
31.400,18.338
31.500,18.364
31.600,18.390
31.700,18.416
31.800,18.441
31.900,18.467
32.000,18.493
32.100,18.519
32.200,18.544
32.300,18.570
32.400,18.595
32.500,18.621
32.600,18.647
32.700,18.672
32.800,18.697
32.900,18.723
33.000,18.748
33.100,18.774
33.200,18.799
33.300,18.824
33.400,18.849
33.500,18.875
33.600,18.900
33.700,18.925
33.800,18.950
33.900,18.975
34.000,19.000
34.100,19.025
34.200,19.050
34.300,19.075
34.400,19.100
34.500,19.125
34.600,19.149
34.700,19.174
34.800,19.199
34.900,19.224
35.000,19.248
35.100,19.273
35.200,19.298
35.300,19.322
35.400,19.347
35.500,19.371
35.600,19.396
35.700,19.420
35.800,19.445
35.900,19.469
36.000,19.493
36.100,19.518
36.200,19.542
36.300,19.566
36.400,19.590
36.500,19.615
36.600,19.639
36.700,19.663
36.800,19.687
36.900,19.711
37.000,19.735
37.100,19.759
37.200,19.783
37.300,19.807
37.400,19.831
37.500,19.855
37.600,19.879
37.700,19.902
37.800,19.926
37.900,19.950
38.000,19.974
38.100,19.997
38.200,20.021
38.300,20.045
38.400,20.068
38.500,20.092
38.600,20.115
38.700,20.139
38.800,20.162
38.900,20.186
39.000,20.209
39.100,20.233
39.200,20.256
39.300,20.280
39.400,20.303
39.500,20.326
39.600,20.349
39.700,20.373
39.800,20.396
39.900,20.419
40.000,20.442
40.100,20.465
40.200,20.488
40.300,20.512
40.400,20.535
40.500,20.558
40.600,20.581
40.700,20.604
40.800,20.627
40.900,20.649
41.000,20.672
41.100,20.695
41.200,20.718
41.300,20.741
41.400,20.764
41.500,20.786
41.600,20.809
41.700,20.832
41.800,20.854
41.900,20.877
42.000,20.900
42.100,20.922
42.200,20.945
42.300,20.967
42.400,20.990
42.500,21.012
42.600,21.035
42.700,21.057
42.800,21.080
42.900,21.102
43.000,21.125
43.100,21.147
43.200,21.169
43.300,21.192
43.400,21.214
43.500,21.236
43.600,21.258
43.700,21.281
43.800,21.303
43.900,21.325
44.000,21.347
44.100,21.369
44.200,21.391
44.300,21.413
44.400,21.435
44.500,21.457
44.600,21.479
44.700,21.501
44.800,21.523
44.900,21.545
45.000,21.567
45.100,21.589
45.200,21.611
45.300,21.632
45.400,21.654
45.500,21.676
45.600,21.698
45.700,21.720
45.800,21.741
45.900,21.763
46.000,21.785
46.100,21.806
46.200,21.828
46.300,21.849
46.400,21.871
46.500,21.893
46.600,21.914
46.700,21.936
46.800,21.957
46.900,21.979
47.000,22.000
47.100,22.021
47.200,22.043
47.300,22.064
47.400,22.086
47.500,22.107
47.600,22.128
47.700,22.149
47.800,22.171
47.900,22.192
48.000,22.213
48.100,22.234
48.200,22.256
48.300,22.277
48.400,22.298
48.500,22.319
48.600,22.340
48.700,22.361
48.800,22.382
48.900,22.403
49.000,22.424
49.100,22.445
49.200,22.466
49.300,22.487
49.400,22.508
49.500,22.529
49.600,22.550
49.700,22.571
49.800,22.592
49.900,22.612
50.000,22.633
50.100,22.654
50.200,22.675
50.300,22.696
50.400,22.716
50.500,22.737
50.600,22.758
50.700,22.778
50.800,22.799
50.900,22.820
51.000,22.840
51.100,22.861
51.200,22.881
51.300,22.902
51.400,22.923
51.500,22.943
51.600,22.964
51.700,22.984
51.800,23.005
51.900,23.025
52.000,23.045
52.100,23.066
52.200,23.086
52.300,23.107
52.400,23.127
52.500,23.147
52.600,23.168
52.700,23.188
52.800,23.208
52.900,23.228
53.000,23.249
53.100,23.269
53.200,23.289
53.300,23.309
53.400,23.329
53.500,23.349
53.600,23.370
53.700,23.390
53.800,23.410
53.900,23.430
54.000,23.450
54.100,23.470
54.200,23.490
54.300,23.510
54.400,23.530
54.500,23.550
54.600,23.570
54.700,23.590
54.800,23.610
54.900,23.630
55.000,23.650
55.100,23.669
55.200,23.689
55.300,23.709
55.400,23.729
55.500,23.749
55.600,23.768
55.700,23.788
55.800,23.808
55.900,23.828
56.000,23.847
56.100,23.867
56.200,23.887
56.300,23.906
56.400,23.926
56.500,23.946
56.600,23.965
