x,y
0,5.243
0.5,5.743
1,6.196
1.5,6.612
2,7
2.5,7.364
3,7.708
3.5,8.036
4,8.348
4.5,8.649
5,8.937
5.5,9.216
6,9.485
6.5,9.746
7,10
7.5,10.247
8,10.487
8.5,10.721
9,10.95
9.5,11.173
10,11.392
10.5,11.607
11,11.817
11.5,12.023
12,12.225
12.5,12.424
13,12.619
13.5,12.811
14,13
14.5,13.186
15,13.369
15.5,13.55
16,13.728
16.5,13.903
17,14.077
17.5,14.248
18,14.416
18.5,14.583
19,14.748
19.5,14.91
20,15.071
20.5,15.23
21,15.387
21.5,15.543
22,15.697
22.5,15.849
23,16
23.5,16.149
24,16.297
24.5,16.443
25,16.588
25.5,16.732
26,16.875
26.5,17.016
27,17.155
27.5,17.294
28,17.432
28.5,17.568
29,17.703
29.5,17.837
30,17.971
30.5,18.103
31,18.234
31.5,18.364
32,18.493
32.5,18.621
33,18.748
33.5,18.875
34,19
34.5,19.125
35,19.248
35.5,19.371
36,19.493
36.5,19.615
37,19.735
37.5,19.855
38,19.974
38.5,20.092
39,20.209
39.5,20.326
40,20.442
40.5,20.558
41,20.672
41.5,20.786
42,20.9
42.5,21.012
43,21.125
43.5,21.236
44,21.347
44.5,21.457
45,21.567
45.5,21.676
46,21.785
46.5,21.893
47,22
47.5,22.107
48,22.213
48.5,22.319
49,22.424
49.5,22.529
50,22.633
50.5,22.737
51,22.84
51.5,22.943
52,23.045
52.5,23.147
53,23.249
53.5,23.349
54,23.45
54.5,23.55
55,23.65
55.5,23.749
56,23.847
56.5,23.946
57,24.043
57.5,24.141
58,24.238
58.5,24.335
59,24.431
59.5,24.527
60,24.622
60.5,24.717
61,24.812
61.5,24.906
62,25
62.5,25.094
63,25.187
63.5,25.28
64,25.372
64.5,25.464
65,25.556
65.5,25.648
66,25.739
66.5,25.829
67,25.92
67.5,26.01
68,26.1
68.5,26.189
69,26.278
69.5,26.367
70,26.456
70.5,26.544
71,26.632
71.5,26.72
72,26.807
72.5,26.894
73,26.981
73.5,27.067
74,27.153
74.5,27.239
75,27.325
75.5,27.41
76,27.495
76.5,27.58
77,27.665
77.5,27.749
78,27.833
78.5,27.917
79,28
79.5,28.083
80,28.166
80.5,28.249
81,28.331
81.5,28.414
82,28.495
82.5,28.577
83,28.659
83.5,28.74
84,28.821
84.5,28.902
85,28.982
85.5,29.062
86,29.142
86.5,29.222
87,29.302
87.5,29.381
88,29.46
88.5,29.539
89,29.618
89.5,29.697
90,29.775
90.5,29.853
91,29.931
91.5,30.009
92,30.086
92.5,30.163
93,30.24
93.5,30.317
94,30.394
94.5,30.47
95,30.547
95.5,30.623
96,30.698
96.5,30.774
97,30.85
97.5,30.925
98,31
98.5,31.075
99,31.15
99.5,31.224
100,31.299
100.5,31.373
101,31.447
101.5,31.52
102,31.594
102.5,31.668
103,31.741
103.5,31.814
104,31.887
104.5,31.96
105,32.032
105.5,32.105
106,32.177
106.5,32.249
107,32.321
107.5,32.393
108,32.464
108.5,32.536
109,32.607
109.5,32.678
110,32.749
110.5,32.82
111,32.89
111.5,32.961
112,33.031
112.5,33.101
113,33.171
113.5,33.241
114,33.311
114.5,33.381
115,33.45
115.5,33.519
116,33.588
116.5,33.657
117,33.726
117.5,33.795
118,33.863
118.5,33.932
119,34
119.5,34.068
120,34.136
120.5,34.204
121,34.272
121.5,34.339
122,34.407
122.5,34.474
123,34.541
123.5,34.608
124,34.675
124.5,34.742
125,34.808
125.5,34.875
126,34.941
126.5,35.007
127,35.073
127.5,35.139
128,35.205
128.5,35.271
129,35.337
129.5,35.402
130,35.467
130.5,35.533
131,35.598
131.5,35.663
132,35.728
132.5,35.792
133,35.857
133.5,35.921
134,35.986
134.5,36.05
135,36.114
135.5,36.178
136,36.242
136.5,36.306
137,36.369
137.5,36.433
138,36.496
138.5,36.56
139,36.623
139.5,36.686
140,36.749
140.5,36.812
141,36.875
141.5,36.937
142,37
142.5,37.062
143,37.125
143.5,37.187
144,37.249
144.5,37.311
145,37.373
145.5,37.435
146,37.497
146.5,37.558
147,37.62
147.5,37.681
148,37.742
148.5,37.804
149,37.865
149.5,37.926
150,37.986
150.5,38.047
151,38.108
151.5,38.169
152,38.229
152.5,38.289
153,38.35
153.5,38.41
154,38.47
154.5,38.53
155,38.59
155.5,38.65
156,38.709
156.5,38.769
157,38.829
157.5,38.888
158,38.947
158.5,39.007
159,39.066
159.5,39.125
160,39.184
160.5,39.243
161,39.301
161.5,39.36
162,39.419
162.5,39.477
163,39.536
163.5,39.594
164,39.652
164.5,39.71
165,39.769
165.5,39.827
166,39.884
166.5,39.942
167,40
167.5,40.058
168,40.115
168.5,40.173
169,40.23
169.5,40.287
170,40.345
170.5,40.402
171,40.459
171.5,40.516
172,40.573
172.5,40.63
173,40.686
173.5,40.743
174,40.799
174.5,40.856
175,40.912
175.5,40.969
176,41.025
176.5,41.081
177,41.137
177.5,41.193
178,41.249
178.5,41.305
179,41.361
179.5,41.417
180,41.472
180.5,41.528
181,41.583
181.5,41.639
182,41.694
182.5,41.749
183,41.804
183.5,41.86
184,41.915
184.5,41.97
185,42.024
185.5,42.079
186,42.134
186.5,42.189
187,42.243
187.5,42.298
188,42.352
188.5,42.407
189,42.461
189.5,42.515
190,42.569
190.5,42.623
191,42.677
191.5,42.731
192,42.785
192.5,42.839
193,42.893
193.5,42.946
194,43
194.5,43.054
195,43.107
195.5,43.16
196,43.214
196.5,43.267
197,43.32
197.5,43.373
198,43.426
198.5,43.479
199,43.532
199.5,43.585
200,43.638
