x,y
0.000,5.243
0.500,5.743
1.000,6.196
1.500,6.612
2.000,7.000
2.500,7.364
3.000,7.708
3.500,8.036
4.000,8.348
4.500,8.649
5.000,8.937
5.500,9.216
6.000,9.485
6.500,9.746
7.000,10.000
7.500,10.247
8.000,10.487
8.500,10.721
9.000,10.950
9.500,11.173
10.000,11.392
10.500,11.607
11.000,11.817
11.500,12.023
12.000,12.225
12.500,12.424
13.000,12.619
13.500,12.811
14.000,13.000
14.500,13.186
15.000,13.369
15.500,13.550
16.000,13.728
16.500,13.903
17.000,14.077
17.500,14.248
18.000,14.416
18.500,14.583
19.000,14.748
19.500,14.910
20.000,15.071
20.500,15.230
21.000,15.387
21.500,15.543
22.000,15.697
22.500,15.849
23.000,16.000
23.500,16.149
24.000,16.297
24.500,16.443
25.000,16.588
25.500,16.732
26.000,16.875
26.500,17.016
27.000,17.155
27.500,17.294
28.000,17.432
28.500,17.568
29.000,17.703
29.500,17.837
30.000,17.971
30.500,18.103
31.000,18.234
31.500,18.364
32.000,18.493
32.500,18.621
33.000,18.748
33.500,18.875
34.000,19.000
34.500,19.125
35.000,19.248
35.500,19.371
36.000,19.493
36.500,19.615
37.000,19.735
37.500,19.855
38.000,19.974
38.500,20.092
39.000,20.209
39.500,20.326
40.000,20.442
40.500,20.558
41.000,20.672
41.500,20.786
42.000,20.900
42.500,21.012
43.000,21.125
43.500,21.236
44.000,21.347
44.500,21.457
45.000,21.567
45.500,21.676
46.000,21.785
46.500,21.893
47.000,22.000
47.500,22.107
48.000,22.213
48.500,22.319
49.000,22.424
49.500,22.529
50.000,22.633
50.500,22.737
51.000,22.840
51.500,22.943
52.000,23.045
52.500,23.147
53.000,23.249
53.500,23.349
54.000,23.450
54.500,23.550
55.000,23.650
55.500,23.749
56.000,23.847
56.500,23.946
57.000,24.043
57.500,24.141
58.000,24.238
58.500,24.335
59.000,24.431
59.500,24.527
60.000,24.622
60.500,24.717
61.000,24.812
61.500,24.906
62.000,25.000
62.500,25.094
63.000,25.187
63.500,25.280
64.000,25.372
64.500,25.464
65.000,25.556
65.500,25.648
66.000,25.739
66.500,25.829
67.000,25.920
67.500,26.010
68.000,26.100
68.500,26.189
69.000,26.278
69.500,26.367
70.000,26.456
70.500,26.544
71.000,26.632
71.500,26.720
72.000,26.807
72.500,26.894
73.000,26.981
73.500,27.067
74.000,27.153
74.500,27.239
75.000,27.325
75.500,27.410
76.000,27.495
76.500,27.580
77.000,27.665
77.500,27.749
78.000,27.833
78.500,27.917
79.000,28.000
79.500,28.083
80.000,28.166
80.500,28.249
81.000,28.331
81.500,28.414
82.000,28.495
82.500,28.577
83.000,28.659
83.500,28.740
84.000,28.821
84.500,28.902
85.000,28.982
85.500,29.062
86.000,29.142
86.500,29.222
87.000,29.302
87.500,29.381
88.000,29.460
88.500,29.539
89.000,29.618
89.500,29.697
90.000,29.775
90.500,29.853
91.000,29.931
91.500,30.009
92.000,30.086
92.500,30.163
93.000,30.240
93.500,30.317
94.000,30.394
94.500,30.470
95.000,30.547
95.500,30.623
96.000,30.698
96.500,30.774
97.000,30.850
97.500,30.925
98.000,31.000
98.500,31.075
99.000,31.150
99.500,31.224
100.000,31.299
100.500,31.373
101.000,31.447
101.500,31.520
102.000,31.594
102.500,31.668
103.000,31.741
103.500,31.814
104.000,31.887
104.500,31.960
105.000,32.032
105.500,32.105
106.000,32.177
106.500,32.249
107.000,32.321
107.500,32.393
108.000,32.464
108.500,32.536
109.000,32.607
109.500,32.678
110.000,32.749
110.500,32.820
111.000,32.890
111.500,32.961
112.000,33.031
112.500,33.101
113.000,33.171
113.500,33.241
114.000,33.311
114.500,33.381
115.000,33.450
115.500,33.519
116.000,33.588
116.500,33.657
117.000,33.726
117.500,33.795
118.000,33.863
118.500,33.932
119.000,34.000
119.500,34.068
120.000,34.136
120.500,34.204
121.000,34.272
121.500,34.339
122.000,34.407
122.500,34.474
123.000,34.541
123.500,34.608
124.000,34.675
124.500,34.742
125.000,34.808
125.500,34.875
126.000,34.941
126.500,35.007
127.000,35.073
127.500,35.139
128.000,35.205
128.500,35.271
129.000,35.337
129.500,35.402
130.000,35.467
130.500,35.533
131.000,35.598
131.500,35.663
132.000,35.728
132.500,35.792
133.000,35.857
133.500,35.921
134.000,35.986
134.500,36.050
135.000,36.114
135.500,36.178
136.000,36.242
136.500,36.306
137.000,36.369
137.500,36.433
138.000,36.496
138.500,36.560
139.000,36.623
139.500,36.686
140.000,36.749
140.500,36.812
141.000,36.875
141.500,36.937
142.000,37.000
142.500,37.062
143.000,37.125
143.500,37.187
144.000,37.249
144.500,37.311
145.000,37.373
145.500,37.435
146.000,37.497
146.500,37.558
147.000,37.620
147.500,37.681
148.000,37.742
148.500,37.804
149.000,37.865
149.500,37.926
150.000,37.986
150.500,38.047
151.000,38.108
151.500,38.169
152.000,38.229
152.500,38.289
153.000,38.350
153.500,38.410
154.000,38.470
154.500,38.530
155.000,38.590
155.500,38.650
156.000,38.709
156.500,38.769
157.000,38.829
157.500,38.888
158.000,38.947
158.500,39.007
159.000,39.066
159.500,39.125
160.000,39.184
160.500,39.243
161.000,39.301
161.500,39.360
162.000,39.419
162.500,39.477
163.000,39.536
163.500,39.594
164.000,39.652
164.500,39.710
165.000,39.769
165.500,39.827
166.000,39.884
166.500,39.942
167.000,40.000
167.500,40.058
168.000,40.115
168.500,40.173
169.000,40.230
169.500,40.287
170.000,40.345
170.500,40.402
171.000,40.459
171.500,40.516
172.000,40.573
172.500,40.630
173.000,40.686
173.500,40.743
174.000,40.799
174.500,40.856
175.000,40.912
175.500,40.969
176.000,41.025
176.500,41.081
177.000,41.137
177.500,41.193
178.000,41.249
178.500,41.305
179.000,41.361
179.500,41.417
180.000,41.472
180.500,41.528
181.000,41.583
181.500,41.639
182.000,41.694
182.500,41.749
183.000,41.804
183.500,41.860
184.000,41.915
184.500,41.970
185.000,42.024
185.500,42.079
186.000,42.134
186.500,42.189
187.000,42.243
187.500,42.298
188.000,42.352
188.500,42.407
189.000,42.461
189.500,42.515
190.000,42.569
190.500,42.623
191.000,42.677
191.500,42.731
192.000,42.785
192.500,42.839
193.000,42.893
193.500,42.946
194.000,43.000
194.500,43.054
195.000,43.107
195.500,43.160
196.000,43.214
196.500,43.267
197.000,43.320
197.500,43.373
198.000,43.426
198.500,43.479
199.000,43.532
199.500,43.585
200.000,43.638
