x,y
0.000,2.241
0.100,2.436
0.200,1.867
0.300,2.171
0.400,2.192
0.500,2.580
0.600,2.035
0.700,2.371
0.800,2.870
0.900,2.669
1.000,2.835
1.100,2.956
1.200,2.954
1.300,2.875
1.400,3.385
1.500,3.352
1.600,3.399
1.700,3.162
1.800,2.921
1.900,3.607
2.000,3.344
2.100,3.738
2.200,3.384
2.300,3.504
2.400,3.305
2.500,3.589
2.600,3.599
2.700,4.221
2.800,4.240
2.900,4.008
3.000,3.965
3.100,4.162
3.200,4.534
3.300,4.548
3.400,3.760
3.500,4.467
3.600,4.174
3.700,4.403
3.800,4.679
3.900,4.211
4.000,4.350
4.100,4.830
4.200,4.952
4.300,4.275
4.400,4.561
4.500,4.858
4.600,4.474
4.700,4.384
4.800,4.787
4.900,5.198
5.000,4.685
5.100,4.896
5.200,4.732
5.300,4.931
5.400,5.544
5.500,5.487
5.600,5.166
5.700,5.354
5.800,4.858
5.900,4.997
6.000,5.380
6.100,5.028
6.200,5.387
6.300,5.370
6.400,5.423
6.500,5.943
6.600,5.569
6.700,5.773
6.800,5.253
6.900,5.480
7.000,5.516
7.100,5.715
7.200,6.208
7.300,5.745
7.400,5.867
7.500,6.233
7.600,6.218
7.700,5.696
7.800,5.446
7.900,5.943
8.000,5.989
8.100,6.427
8.200,6.217
8.300,6.131
8.400,6.019
8.500,5.912
8.600,5.898
8.700,5.825
8.800,6.618
8.900,6.479
9.000,6.732
9.100,6.207
9.200,6.340
9.300,6.296
9.400,6.363
9.500,6.602
9.600,6.099
9.700,6.222
9.800,6.420
9.900,6.702
10.000,7.017
10.100,6.385
10.200,6.443
10.300,6.684
10.400,6.521
10.500,7.015
10.600,7.030
10.700,7.319
10.800,6.496
10.900,7.150
11.000,6.628
11.100,7.245
11.200,7.379
11.300,7.030
11.400,7.242
11.500,7.094
11.600,6.888
11.700,7.152
11.800,7.416
11.900,7.279
12.000,6.760
12.100,7.238
12.200,7.258
12.300,6.842
12.400,7.215
12.500,7.567
12.600,6.943
12.700,6.930
12.800,7.114
12.900,7.477
13.000,7.071
13.100,7.139
13.200,7.697
13.300,7.085
13.400,7.526
13.500,7.175
13.600,7.576
13.700,7.731
13.800,7.948
13.900,8.030
14.000,8.171
14.100,7.913
14.200,7.784
14.300,8.157
14.400,8.080
14.500,8.004
14.600,7.914
14.700,7.891
14.800,8.009
14.900,8.419
15.000,8.243
15.100,7.758
15.200,7.715
15.300,8.409
15.400,8.272
15.500,8.144
15.600,8.106
15.700,8.149
15.800,8.592
15.900,8.199
16.000,8.064
16.100,8.358
16.200,8.445
16.300,8.786
16.400,8.799
16.500,8.219
16.600,7.988
16.700,8.766
16.800,8.488
16.900,7.990
17.000,8.662
17.100,8.873
17.200,8.826
17.300,8.355
17.400,8.089
17.500,8.955
17.600,8.580
17.700,8.180
17.800,8.308
17.900,8.466
18.000,8.653
18.100,9.065
18.200,8.704
18.300,8.605
18.400,9.266
18.500,8.818
18.600,8.923
18.700,8.673
18.800,8.766
18.900,8.709
19.000,9.230
19.100,8.850
19.200,9.270
19.300,9.176
19.400,9.182
19.500,8.760
19.600,8.808
19.700,9.465
19.800,9.301
19.900,8.940
