x,y
0.000,5.999
0.500,4.617
1.000,4.043
1.500,5.674
2.000,4.149
2.500,6.398
3.000,5.626
3.500,10.822
4.000,10.877
4.500,12.174
5.000,9.320
5.500,6.403
6.000,9.136
6.500,6.909
7.000,7.190
7.500,14.771
8.000,10.416
8.500,12.988
9.000,12.091
9.500,11.896
10.000,6.614
10.500,7.202
11.000,12.136
11.500,12.457
12.000,12.200
12.500,15.710
13.000,13.912
13.500,11.165
14.000,9.306
14.500,12.982
15.000,9.801
15.500,10.587
16.000,17.057
16.500,15.452
17.000,11.173
17.500,14.294
18.000,13.036
18.500,15.752
19.000,18.425
19.500,18.242
20.000,19.188
20.500,18.730
21.000,10.909
21.500,12.557
22.000,16.595
22.500,16.232
23.000,14.616
23.500,20.508
24.000,13.654
24.500,13.598
25.000,13.156
25.500,21.416
26.000,19.929
26.500,17.201
27.000,18.075
27.500,19.455
28.000,13.646
28.500,18.968
29.000,17.808
29.500,20.893
30.000,14.196
30.500,20.850
31.000,20.688
31.500,18.151
32.000,22.319
32.500,19.385
33.000,16.352
33.500,20.274
34.000,19.675
34.500,18.198
35.000,21.605
35.500,15.890
36.000,16.407
36.500,24.085
37.000,21.332
37.500,16.530
38.000,20.017
38.500,20.607
39.000,22.434
39.500,25.305
40.000,21.342
40.500,21.611
41.000,18.901
41.500,18.397
42.000,23.799
42.500,25.941
43.000,19.119
43.500,24.509
44.000,20.126
44.500,23.771
45.000,22.312
45.500,20.521
46.000,16.885
46.500,24.410
47.000,19.616
47.500,19.962
48.000,20.659
48.500,25.254
49.000,26.688
49.500,24.566
50.000,21.534
50.500,21.629
51.000,18.991
51.500,18.199
52.000,18.766
52.500,27.649
53.000,27.952
53.500,26.735
54.000,20.780
54.500,18.954
55.000,26.002
55.500,27.099
56.000,26.648
56.500,19.212
57.000,21.227
57.500,23.582
58.000,29.001
58.500,23.596
59.000,27.792
59.500,19.851
60.000,28.970
60.500,24.111
61.000,26.602
61.500,20.545
62.000,22.214
62.500,23.594
63.000,21.801
63.500,27.293
64.000,21.331
64.500,27.496
65.000,22.574
65.500,30.126
66.000,24.031
66.500,25.156
67.000,26.475
67.500,26.769
68.000,28.334
68.500,25.130
69.000,30.055
69.500,29.103
70.000,25.762
70.500,22.422
71.000,24.886
71.500,28.189
72.000,30.974
72.500,28.910
73.000,22.266
73.500,26.717
74.000,31.658
74.500,32.178
75.000,27.871
75.500,30.436
76.000,25.591
76.500,32.042
77.000,28.387
77.500,28.228
78.000,32.750
78.500,28.575
79.000,25.784
79.500,23.806
80.000,29.097
80.500,30.180
81.000,31.305
81.500,30.764
82.000,25.264
82.500,25.372
83.000,30.454
83.500,26.620
84.000,27.706
84.500,27.296
85.000,32.324
85.500,30.877
86.000,32.112
86.500,25.763
87.000,31.473
87.500,26.696
88.000,28.904
88.500,27.583
89.000,28.171
89.500,25.718
90.000,28.391
90.500,32.311
91.000,33.394
91.500,30.833
92.000,28.879
92.500,27.189
93.000,28.161
93.500,32.234
94.000,34.413
94.500,32.030
