x,y
-10.000,6.789
-9.750,6.840
-9.500,6.800
-9.250,6.702
-9.000,6.677
-8.750,6.546
-8.500,6.438
-8.250,6.190
-8.000,5.981
-7.750,5.869
-7.500,5.803
-7.250,5.742
-7.000,5.492
-6.750,5.440
-6.500,5.308
-6.250,5.197
-6.000,5.079
-5.750,4.939
-5.500,4.748
-5.250,4.722
-5.000,4.657
-4.750,4.677
-4.500,4.471
-4.250,4.288
-4.000,4.120
-3.750,4.195
-3.500,4.220
-3.250,3.925
-3.000,3.763
-2.750,3.834
-2.500,3.712
-2.250,3.763
-2.000,3.600
-1.750,3.435
-1.500,3.359
-1.250,3.245
-1.000,3.072
-0.750,2.849
-0.500,2.619
-0.250,2.561
0.000,2.562
0.250,2.482
0.500,2.484
0.750,2.560
1.000,2.844
1.250,2.929
1.500,3.125
1.750,3.087
2.000,3.293
2.250,3.483
2.500,3.743
2.750,3.864
3.000,4.157
3.250,4.045
3.500,4.211
3.750,4.258
4.000,4.418
4.250,4.346
4.500,4.349
4.750,4.466
5.000,4.634
5.250,4.842
5.500,4.966
5.750,5.046
6.000,5.134
6.250,5.230
6.500,5.256
6.750,5.352
7.000,5.424
7.250,5.488
7.500,5.518
7.750,5.786
8.000,5.952
8.250,6.134
8.500,6.351
8.750,6.346
9.000,6.685
9.250,6.733
9.500,6.736
9.750,6.871
10.000,6.912
10.250,6.852
10.500,6.932
10.750,6.961
11.000,7.178
11.250,7.226
11.500,7.382
11.750,7.416
12.000,7.577
12.250,7.670
12.500,7.736
12.750,7.766
13.000,7.702
13.250,7.640
13.500,7.625
13.750,7.601
14.000,7.719
14.250,7.671
14.500,7.741
14.750,7.964
15.000,8.187
15.250,8.305
15.500,8.408
15.750,8.332
16.000,8.456
16.250,8.395
16.500,8.306
16.750,8.250
17.000,8.420
17.250,8.330
17.500,8.349
17.750,8.374
18.000,8.623
18.250,8.853
18.500,8.879
18.750,8.732
19.000,8.903
19.250,9.049
19.500,9.075
19.750,8.966
20.000,8.846
